mass,description,periastrontime,semimajoraxis,discoveryyear,list,eccentricity,period,discoverymethod,lastupdate,periastron,name
,"Kepler-114 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-114 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,8.041348,transit,14/02/26,,Kepler-114 c
,"Kepler-114 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-114 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,5.188549,transit,14/02/26,,Kepler-114 b
,"Kepler-114 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-114 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,11.776134,transit,14/02/26,,Kepler-114 d
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.787868390,transit,16/05/10,,Kepler-1150 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,65.647842400,transit,16/05/10,,Kepler-1151 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.646801910,transit,16/05/10,,Kepler-1152 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.755835330,transit,16/05/10,,Kepler-1153 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.185614200,transit,16/05/10,,Kepler-1154 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.458083120,transit,16/05/10,,Kepler-1154 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,33.469743000,transit,16/05/10,,Kepler-1155 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,11.895205110,transit,16/05/10,,Kepler-1156 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.457431640,transit,16/05/10,,Kepler-1157 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,13.539629300,transit,16/05/10,,Kepler-1158 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,22.708167910,transit,16/05/10,,Kepler-1159 b
,"Kepler-115 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-115 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,8.990889,transit,14/02/26,,Kepler-115 c
,"Kepler-115 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-115 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,2.403679,transit,14/02/26,,Kepler-115 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,7.970349580,transit,16/05/10,,Kepler-1160 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,10.712525410,transit,16/05/10,,Kepler-1161 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,32.563706900,transit,16/05/10,,Kepler-1162 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.117868980,transit,16/05/10,,Kepler-1163 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.975997680,transit,16/05/10,,Kepler-1164 b
