temperature,magV,mass,spectraltype,magJ,radius,magB,magH,magK,metallicity,name,planets
5617.0,,0.99,,,0.97,,,,0.14,Kepler-1513,1.0
6511.0,,1.30,,,1.41,,,,0.07,Kepler-1515,1.0
5904.0,,1.04,,,1.07,,,,0.03,Kepler-1516,1.0
7010.0,,1.58,,,1.95,,,,0.01,Kepler-1517,1.0
6846.0,,1.54,,,1.88,,,,0.06,Kepler-1518,1.0
5644.0,,0.94,,,0.91,,,,-0.07,Kepler-1519,1.0
5460,,0.8600,,13.383,0.830,,12.998,12.86,,Kepler-151,2.0
5042.0,,0.81,,,0.76,,,,-0.05,Kepler-1521,1.0
5706.0,,0.96,,,0.93,,,,-0.07,Kepler-1522,1.0
5708.0,,0.97,,,0.96,,,,0.00,Kepler-1523,1.0
6179.0,,1.17,,,1.25,,,,0.04,Kepler-1524,1.0
5748.0,,1.07,,,1.04,,,,0.27,Kepler-1525,1.0
4601.0,,0.73,,,0.69,,,,-0.01,Kepler-1526,1.0
6224.0,,1.21,,,1.32,,,,0.07,Kepler-1527,1.0
5857.0,,1.03,,,1.03,,,,0.03,Kepler-1528,1.0
5048.0,,0.81,,,0.77,,,,-0.03,Kepler-1529,1.0
5088,,,,12.853,0.724,,12.488,12.301,,Kepler-152,2.0
5477.0,,0.92,,,0.88,,,,0.03,Kepler-1530,2.0
6260.0,,1.16,,,1.27,,,,-0.03,Kepler-1531,1.0
5559.0,,0.91,,,0.88,,,,-0.10,Kepler-1532,1.0
6431.0,,1.31,,,1.51,,,,0.03,Kepler-1533,1.0
5442.0,,0.90,,,0.86,,,,-0.01,Kepler-1534,1.0
6021.0,,1.08,,,1.11,,,,0.00,Kepler-1535,1.0
4434.0,,0.71,,,0.67,,,,0.05,Kepler-1536,1.0
5079.0,,0.81,,,0.77,,,,-0.08,Kepler-1537,1.0
5837.0,,1.03,,,1.03,,,,0.02,Kepler-1538,1.0
5176.0,,0.84,,,0.80,,,,-0.01,Kepler-1539,1.0
5404,,0.8200,,12.945,0.892,,12.483,12.418,,Kepler-153,2.0
4540.0,,0.74,,,0.69,,,,0.10,Kepler-1540,1.0
5282.0,,0.86,,,0.81,,,,-0.04,Kepler-1541,1.0
5564.0,,0.94,,,0.99,,,,0.06,Kepler-1542,4.0
6561.0,,1.39,,,1.65,,,,0.07,Kepler-1543,1.0
4886.0,,0.81,,,0.74,,,,0.02,Kepler-1544,1.0
5201.0,,0.84,,,0.80,,,,-0.06,Kepler-1545,1.0
5623.0,,0.95,,,0.93,,,,0.01,Kepler-1546,1.0
6078.0,,1.12,,,1.18,,,,0.04,Kepler-1547,1.0
5706.0,,0.99,,,0.97,,,,0.05,Kepler-1548,1.0
5324.0,,0.88,,,0.84,,,,0.02,Kepler-1549,1.0
5690,,,,13.389,1.001,,13.09,12.986,,Kepler-154,5.0
5991.0,,1.07,,,1.11,,,,0.01,Kepler-1550,1.0
6136.0,,1.14,,,1.22,,,,0.01,Kepler-1551,1.0
5202.0,,0.85,,,0.78,,,,-0.07,Kepler-1552,1.0
5288.0,,0.85,,,0.81,,,,-0.09,Kepler-1553,1.0
5297.0,,0.84,,,0.81,,,,-0.10,Kepler-1554,1.0
5866.0,,1.04,,,1.06,,,,0.03,Kepler-1555,1.0
5608.0,,0.97,,,0.95,,,,0.08,Kepler-1556,1.0
6099.0,,1.11,,,1.17,,,,0.02,Kepler-1557,1.0
5101.0,,0.83,,,0.79,,,,0.00,Kepler-1558,1.0
5316.0,,0.86,,,0.82,,,,-0.04,Kepler-1559,1.0
4508,,0.6350,,12.53,0.620,,11.89,11.80,,Kepler-155,2.0
5815.0,,1.02,,,1.02,,,,0.04,Kepler-1560,1.0
5957.0,,1.07,,,1.11,,,,0.04,Kepler-1561,1.0
5760.0,,1.02,,,1.05,,,,0.11,Kepler-1562,1.0
5765.0,,1.00,,,0.99,,,,0.02,Kepler-1563,1.0
5528.0,,0.93,,,0.90,,,,0.03,Kepler-1564,1.0
4940.0,,0.76,,,0.73,,,,-0.16,Kepler-1565,1.0
5254.0,,0.84,,,0.81,,,,-0.07,Kepler-1566,1.0
5655.0,,0.95,,,0.93,,,,-0.03,Kepler-1567,1.0
5956.0,,1.09,,,1.19,,,,0.09,Kepler-1568,1.0
6319.0,,1.25,,,1.40,,,,0.06,Kepler-1569,1.0
5094,,0.7370,,12.735,0.807,,12.255,12.155,,Kepler-156,2.0
5550.0,,0.92,,,0.89,,,,-0.04,Kepler-1570,1.0
6297.0,,1.23,,,1.39,,,,0.04,Kepler-1571,1.0
5618.0,,0.97,,,0.95,,,,0.08,Kepler-1572,1.0
5808.0,,1.01,,,1.00,,,,0.02,Kepler-1573,1.0
5892.0,,1.06,,,1.08,,,,0.08,Kepler-1574,1.0
5667.0,,0.95,,,0.92,,,,-0.07,Kepler-1575,1.0
5876.0,,1.05,,,1.06,,,,0.05,Kepler-1576,1.0
4862.0,,0.78,,,0.74,,,,0.00,Kepler-1577,1.0
5545.0,,0.90,,,0.86,,,,-0.13,Kepler-1578,1.0
4584.0,,0.75,,,0.70,,,,0.11,Kepler-1579,1.0
5774,,1.0280,,12.94,1.044,,12.627,12.57,,Kepler-157,3.0
6228.0,,1.47,,,2.15,,,,0.12,Kepler-1580,1.0
6022.0,,1.12,,,1.23,,,,0.07,Kepler-1581,1.0
3208.0,,0.28,,,0.30,,,,0.48,Kepler-1582,1.0
5645.0,,0.94,,,0.91,,,,-0.07,Kepler-1583,1.0
6069.0,,1.10,,,1.13,,,,0.00,Kepler-1584,1.0
5538.0,,0.94,,,0.91,,,,0.08,Kepler-1585,1.0
6681.0,,1.45,,,1.75,,,,0.06,Kepler-1586,1.0
5933.0,,1.08,,,1.22,,,,0.07,Kepler-1587,1.0
5817.0,,0.96,,,0.99,,,,-0.14,Kepler-1588,1.0
6166.0,,1.18,,,1.25,,,,0.08,Kepler-1589,1.0
4623,,0.6550,,12.722,0.624,,12.138,12.057,,Kepler-158,2.0
6053.0,,1.11,,,1.16,,,,0.03,Kepler-1590,1.0
6082.0,,1.10,,,1.16,,,,0.01,Kepler-1591,1.0
6213.0,,1.18,,,1.28,,,,0.04,Kepler-1592,1.0
4995.0,,0.81,,,0.77,,,,0.02,Kepler-1593,1.0
5946.0,,1.06,,,1.08,,,,0.03,Kepler-1594,1.0
5203.0,,0.84,,,0.80,,,,-0.02,Kepler-1595,1.0
5706.0,,0.95,,,0.92,,,,-0.11,Kepler-1596,1.0
6377.0,,1.25,,,1.39,,,,0.02,Kepler-1597,1.0
5940.0,,1.07,,,1.09,,,,0.04,Kepler-1598,1.0
5767.0,,0.99,,,0.99,,,,0.02,Kepler-1599,1.0
4625,,0.6280,,13.104,0.663,,12.530,12.357,,Kepler-159,2.0
5514,13.8,1.00,G,12.578,0.98,,12.28,12.216,0.36,Kepler-15,1.0
5214.0,,0.86,,,0.82,,,,0.07,Kepler-1600,1.0
5869.0,,1.04,,,1.07,,,,0.05,Kepler-1601,1.0
6296.0,,1.22,,,1.36,,,,0.02,Kepler-1602,1.0
6241.0,,1.21,,,1.31,,,,0.07,Kepler-1603,1.0
4976.0,,0.81,,,0.76,,,,0.02,Kepler-1604,1.0
5280.0,,0.86,,,0.82,,,,-0.01,Kepler-1605,1.0
5422.0,,0.90,,,0.86,,,,0.01,Kepler-1606,1.0
6116.0,,1.14,,,1.21,,,,0.05,Kepler-1607,1.0
4992.0,,0.75,,,0.72,,,,-0.24,Kepler-1608,1.0
6132.0,,1.18,,,1.27,,,,0.10,Kepler-1609,1.0
5471.00,,,,13.460,1.12,,13.101,13.052,,Kepler-160,3.0
5383.0,,0.91,,,0.87,,,,0.10,Kepler-1610,1.0
5605.0,,0.94,,,0.93,,,,0.01,Kepler-1611,1.0
5643.0,,0.96,,,0.94,,,,0.03,Kepler-1612,1.0
6005.0,,1.08,,,1.12,,,,0.01,Kepler-1613,1.0
5121.0,,0.79,,,0.76,,,,-0.17,Kepler-1614,1.0
5865.0,,1.04,,,1.05,,,,0.06,Kepler-1615,1.0
6266.0,,1.21,,,1.34,,,,0.02,Kepler-1616,1.0
6167.0,,1.15,,,1.22,,,,0.01,Kepler-1617,1.0
6620.0,,1.41,,,1.65,,,,0.04,Kepler-1618,1.0
5852.0,,1.00,,,1.00,,,,-0.07,Kepler-1619,1.0
5078,,0.7830,,12.767,0.806,,12.329,12.246,,Kepler-161,2.0
6157.0,,1.15,,,1.23,,,,0.03,Kepler-1620,1.0
6158.0,,1.15,,,1.24,,,,0.03,Kepler-1621,1.0
6436.0,,1.31,,,1.50,,,,0.04,Kepler-1622,1.0
5772.0,,1.00,,,1.00,,,,0.04,Kepler-1623,1.0
3636.0,,0.50,,,0.47,,,,0.06,Kepler-1624,1.0
5677.0,,0.96,,,0.94,,,,0.01,Kepler-1625,1.0
6826.0,,1.51,,,1.85,,,,0.04,Kepler-1626,1.0
5445.0,,0.87,,,0.84,,,,-0.10,Kepler-1627,1.0
3724.0,,0.55,,,0.52,,,,0.17,Kepler-1628,1.0
5776.0,,1.01,,,1.01,,,,0.05,Kepler-1629,1.0
5816,,0.9530,,13.041,0.958,,12.708,12.658,,Kepler-162,2.0
4736.0,,0.66,,,0.63,,,,-0.46,Kepler-1630,1.0
5679.0,,0.97,,,0.95,,,,0.04,Kepler-1631,1.0
6137.0,,1.12,,,1.19,,,,0.00,Kepler-1632,1.0
6256.0,,1.20,,,1.32,,,,0.02,Kepler-1633,1.0
5474.0,,0.92,,,0.89,,,,0.02,Kepler-1634,1.0
5347.0,,0.89,,,0.85,,,,0.06,Kepler-1635,1.0
5797.0,,1.01,,,1.02,,,,0.03,Kepler-1636,1.0
5789.0,,1.02,,,1.02,,,,0.07,Kepler-1637,1.0
5710.0,,0.97,,,0.95,,,,-0.01,Kepler-1638,1.0
6150.0,,1.12,,,1.18,,,,-0.03,Kepler-1639,1.0
5776,,0.9600,,13.194,0.917,,12.850,12.784,,Kepler-163,2.0
6324.0,,1.27,,,1.43,,,,0.10,Kepler-1640,1.0
6152.0,,1.12,,,1.19,,,,-0.02,Kepler-1641,2.0
5355.0,,0.88,,,0.84,,,,-0.01,Kepler-1642,2.0
5508.0,,0.92,,,0.88,,,,-0.01,Kepler-1643,1.0
5499.0,,0.89,,,0.86,,,,-0.10,Kepler-1644,1.0
5812.0,,1.02,,,1.02,,,,0.04,Kepler-1645,1.0
3299.0,,0.24,,,0.26,,,,0.04,Kepler-1646,1.0
3240.00,,0.20,,13.379,0.23,,12.852,12.589,-0.150,Kepler-1649,2.0
5888,,1.1500,,13.254,1.148,,13.008,12.935,,Kepler-164,3.0
6216.00,,1.45,,10.475,2.89,,10.266,10.195,-0.180,Kepler-1658,1.0
5211,,0.7900,,13.430,0.770,,12.926,12.843,,Kepler-165,2.0
5100.00,,0.84,K,12.729,0.76,,12.223,12.162,-0.120,Kepler-1661,1.0
5413,,0.8790,,13.346,0.742,,12.941,12.88,,Kepler-166,3.0
4890,,0.770,K3-4,12.446,0.726,,11.974,11.832,-0.03,Kepler-167,4.0
6282,,1.1200,,13.490,1.107,,13.26,13.21,,Kepler-168,2.0
4997,,0.9180,,12.729,0.763,,12.283,12.186,,Kepler-169,5.0
4450,,0.6897,K,,0.6489,,,,-0.3,Kepler-16 A,0.0
,,0.20255,M,,0.22623,,,,,Kepler-16 B,0.0
5679,,1.0890,,13.143,1.035,,12.773,12.677,,Kepler-170,2.0
5642,,0.9310,,13.586,0.839,,13.23,13.21,,Kepler-171,3.0
5526,,0.8500,,13.170,1.085,,12.88,12.79,,Kepler-172,4.0
6031,,1.0600,,13.081,0.949,,12.76,12.67,,Kepler-173,2.0
4880,,0.6020,,12.791,0.622,,12.293,12.184,,Kepler-174,3.0
6064,,1.0450,,13.773,1.010,,13.487,13.50,,Kepler-175,2.0
5232,,,,13.097,0.891,,12.686,12.567,,Kepler-176,4.0
5676,,0.8900,,13.280,1.066,,12.967,12.899,,Kepler-178,3.0
5302,,0.8420,,13.278,0.759,,12.87,12.750,,Kepler-179,2.0
5781,14,1.16,G2V,12.992,1.05,14.6,12.670,12.585,0.26,Kepler-17,1.0
5731,,0.9100,,13.057,1.063,,12.696,12.685,,Kepler-180,2.0
5333,,0.8530,,13.364,0.749,,12.948,12.88,,Kepler-181,2.0
6250,,1.1000,,13.836,1.146,,13.57,13.52,,Kepler-182,2.0
5888,,0.9900,,13.726,0.958,,13.384,13.31,,Kepler-183,2.0
5788,,0.9700,,13.100,0.873,,12.752,12.690,,Kepler-184,3.0
5208,,0.7730,,13.050,0.806,,12.587,12.515,,Kepler-185,2.0
3788,,0.478,,12.473,0.472,,11.82,11.605,-0.28,Kepler-186,5.0
6105,,1.0000,,12.956,1.287,,12.62,12.566,,Kepler-187,2.0
6021,,1.0100,,13.536,1.141,,13.197,13.144,,Kepler-188,2.0
5235,,0.8240,,13.408,0.750,,12.941,12.921,,Kepler-189,2.0
5383.0,14,0.972,,12.19,1.108,,11.873,11.756,0.2,Kepler-18,3.0
5106,,0.8020,,12.728,0.795,,12.279,12.231,,Kepler-190,2.0
5282,,0.8280,,13.42,0.789,,12.96,12.88,,Kepler-191,3.0
5479,,0.9050,,12.892,1.007,,12.512,12.427,,Kepler-192,3.0
6335,,1.1390,,13.539,1.147,,13.242,13.22,,Kepler-193,2.0
6089,,1.0530,,13.780,1.025,,13.450,13.51,,Kepler-194,3.0
5329,,0.8430,,13.53,0.775,,13.05,12.959,,Kepler-195,2.0
5128,,,,12.752,0.782,,12.300,12.235,,Kepler-196,2.0
6004,11.78,0.8640,,10.814,1.120,12.42,10.577,10.535,,Kepler-197,4.0
5574,,0.9580,,12.421,0.940,,12.067,12.027,,Kepler-198,3.0
5644,,1.0030,,12.449,0.967,,12.101,12.083,,Kepler-199,2.0
5541,12,0.936,G8V,10.719,0.850,12.88,10.375,10.318,-0.13,Kepler-19,2.0
5678,,1.0420,,12.871,0.944,,12.580,12.455,,Kepler-200,2.0
6065,,1.1770,,12.037,1.229,,11.784,11.737,,Kepler-201,2.0
4668,,0.6830,,12.255,0.667,,11.73,11.639,,Kepler-202,2.0
5821,,1.0100,,12.859,1.114,,12.470,12.445,,Kepler-203,3.0
5812,,1.0500,,12.846,1.238,,12.486,12.481,,Kepler-204,2.0
4321,,0.5920,,11.608,0.546,,10.962,10.833,,Kepler-205,2.0
5764,,1.0210,,12.330,1.185,,12.048,12.001,,Kepler-206,3.0
5920,,1.0400,,12.100,1.588,,11.841,11.805,,Kepler-207,3.0
6092,,0.9630,,12.547,1.314,,12.309,12.210,,Kepler-208,4.0
5513,,0.9310,,12.797,0.935,,12.432,12.362,,Kepler-209,2.0
5466.0,12.5,0.912,G8,11.252,0.944,13.41,10.910,10.871,0.02,Kepler-20,5.0
4559,,0.6120,K,11.992,0.650,,11.449,11.313,,Kepler-210,2.0
5123,,0.9140,,11.927,0.816,,11.488,11.447,,Kepler-211,2.0
5852,,1.1660,,11.931,1.455,,11.699,11.620,,Kepler-212,2.0
5696,,0.9760,,12.477,1.195,,12.170,12.122,,Kepler-213,2.0
6169,,1.1500,,12.941,1.352,,12.678,12.607,,Kepler-214,2.0
5739,,0.9770,,12.417,1.027,,12.065,11.996,,Kepler-215,4.0
6091,,1.1290,,12.956,1.260,,12.695,12.621,,Kepler-216,2.0
6171,,1.3830,,12.319,1.799,,12.176,12.103,,Kepler-217,3.0
5502,,1.0190,,12.732,1.063,,12.386,12.311,,Kepler-218,3.0
5786,,1.1710,,12.678,1.491,,12.400,12.389,,Kepler-219,3.0
6131,8.25,1.340,F6IV,7.23,1.860,8.767,7.031,6.945,-0.15,Kepler-21 A,1.0
,,0.42,,,,,,,,Kepler-21 B,0.0
4632,,0.7170,,11.206,0.666,,10.672,10.550,,Kepler-220,4.0
5243,,0.8160,,12.413,0.821,,11.995,11.900,,Kepler-221,4.0
5433,,0.8570,,13.717,0.869,,13.341,13.23,,Kepler-222,3.0
5829,15,0.9500,,14.10,1.017,,13.73,13.63,,Kepler-223,4.0
5018,,0.8250,,14.212,0.676,,13.722,13.70,,Kepler-224,4.0
3682,,,,14.032,0.480,,13.341,13.25,,Kepler-225,2.0
5571,,0.9120,,14.114,0.802,,13.72,13.63,,Kepler-226,3.0
5854,,0.9200,,14.082,1.091,,13.75,13.65,,Kepler-227,2.0
6043,,1.0400,,14.528,1.014,,14.11,14.13,,Kepler-228,3.0
5120,,0.7940,,14.36,0.728,,13.87,13.79,,Kepler-229,3.0
5510.0,,0.97,G5,10.523,0.979,11.5,10.211,10.152,,Kepler-22,1.0
5588,,0.9180,,13.824,0.817,,13.37,13.30,,Kepler-230,2.0
3767,,0.5800,,13.405,0.490,,12.775,12.589,,Kepler-231,2.0
5847,,0.9640,,14.179,0.968,,13.799,13.77,,Kepler-232,2.0
5360,,0.8550,,14.006,0.758,,13.555,13.45,,Kepler-233,2.0
6224,,1.0900,,14.387,1.113,,14.10,14.06,,Kepler-234,2.0
4255,,0.5810,,13.952,0.554,,13.278,13.12,,Kepler-235,4.0
3750,,0.5490,,13.224,0.510,,12.537,12.312,,Kepler-236,2.0
4861,,0.6960,,13.749,0.725,,13.22,13.17,,Kepler-237,2.0
5751,,0.9700,,13.894,1.430,,13.545,13.51,,Kepler-238,5.0
4914,,0.7570,,13.703,0.763,,13.215,13.13,,Kepler-239,2.0
5828,,1.1900,,12.353,1.548,13.6,12.047,11.998,,Kepler-23,3.0
4985,,0.7530,,14.113,0.739,,13.606,13.46,,Kepler-240,2.0
4699,,0.6710,,13.608,0.668,,13.064,12.88,,Kepler-241,2.0
5020,,0.7200,,13.821,0.850,,13.316,13.24,,Kepler-242,2.0
5228,,0.7890,,13.622,0.842,,13.191,13.06,,Kepler-243,2.0
5554,,0.9100,,14.306,0.803,,13.85,13.73,,Kepler-244,3.0
5100,,0.7770,,14.121,0.795,,13.69,13.64,,Kepler-245,4.0
5206,,0.7590,,13.587,0.831,,13.150,13.04,,Kepler-246,2.0
5100,,0.7730,,13.597,0.768,,13.178,13.051,,Kepler-247,3.0
5190,15.18,,,13.911,0.831,16.21,13.442,13.36,,Kepler-248,2.0
3568,,0.5060,,12.836,0.482,,12.150,11.966,,Kepler-249,3.0
5897,,1.0200,,13.763,1.289,,13.45,13.372,,Kepler-24,4.0
5160,,0.7530,,14.000,0.805,,13.50,13.48,,Kepler-250,3.0
5526,,0.9600,,13.96,0.890,,13.596,13.63,,Kepler-251,4.0
4208,,0.6100,,13.240,0.549,,12.650,12.466,,Kepler-252,2.0
5208,,0.8080,,14.055,0.786,,13.632,13.53,,Kepler-253,3.0
5957,,1.0210,,14.68,0.910,,14.27,14.25,,Kepler-254,3.0
5573,,0.8780,,14.227,0.933,,13.854,13.69,,Kepler-255,3.0
5551,,1.0000,,13.824,1.301,,13.496,13.42,,Kepler-256,4.0
5180,,0.7400,,13.916,1.037,,13.448,13.371,,Kepler-257,3.0
4942,,0.7000,,13.556,0.915,,13.086,12.956,,Kepler-258,2.0
5938,,1.0150,,14.009,0.898,,13.673,13.555,,Kepler-259,2.0
6354,10.77,1.26,F,9.764,1.34,11.32,9.532,9.493,0.11,Kepler-25,3.0
5250,,0.9000,,12.900,0.862,,12.540,12.494,,Kepler-260,2.0
5098,,0.8760,,12.127,0.794,,11.672,11.585,,Kepler-261,2.0
5841,,,,13.118,0.881,,12.759,12.732,,Kepler-262,2.0
5265,,0.8010,,13.99,0.785,,13.53,13.55,,Kepler-263,2.0
6158,,1.3700,,11.918,1.550,,11.692,11.591,,Kepler-264,2.0
5835,,1.1500,,14.252,1.103,,13.94,13.90,,Kepler-265,4.0
5885,,1.0600,,14.300,1.028,,13.907,13.811,,Kepler-266,2.0
4258,,0.5520,,13.334,0.555,,12.68,12.485,,Kepler-267,3.0
6081,,1.1300,,12.675,1.274,,12.411,12.382,,Kepler-268,2.0
5847,,1.0400,,14.438,0.959,,14.140,13.961,,Kepler-269,2.0
4486,,0.6340,,13.408,0.571,,12.746,12.630,,Kepler-26,4.0
6067,,1.1700,,12.938,1.461,,12.614,12.627,,Kepler-270,2.0
5524,,,,12.198,0.880,,11.819,11.745,,Kepler-271,3.0
5297,,0.7900,,13.159,0.929,,12.83,12.708,,Kepler-272,3.0
5626,,0.9160,,13.682,0.815,,13.350,13.217,,Kepler-273,2.0
6023,,,,13.773,1.007,,13.458,13.46,,Kepler-274,2.0
6165,,1.1980,,14.28,1.383,,14.03,13.96,,Kepler-275,3.0
6105,,1.0500,,14.234,1.046,,13.867,13.84,,Kepler-276,3.0
5946.00,,1.19,,12.288,1.65,,12.003,11.966,,Kepler-277,2.0
4991,11.81,1.0790,,10.047,2.935,12.79,9.581,9.465,0.28,Kepler-278,2.0
6363,,1.3100,,12.724,1.746,,12.509,12.509,,Kepler-279,3.0
5400.0,,0.65,,14.48,0.59,,14.03,14.12,0.41,Kepler-27,2.0
5744,,0.9570,,13.289,0.886,,12.914,12.844,,Kepler-280,2.0
5723,,0.9430,,14.500,0.899,,14.16,13.99,,Kepler-281,2.0
5602,,1.0820,,14.080,0.904,,13.718,13.65,,Kepler-282,4.0
4351,,0.5960,,13.927,0.566,,13.263,13.14,,Kepler-283,2.0
5615,,0.9230,,14.56,0.814,,14.15,14.08,,Kepler-284,2.0
5411,,0.8650,,13.887,0.808,,13.435,13.32,,Kepler-285,2.0
5580,,1.0300,,14.39,0.863,,14.06,14.12,,Kepler-286,4.0
5806,,0.9300,,13.542,1.032,,13.20,13.13,,Kepler-287,2.0
5918,,1.0800,,14.000,1.091,,13.662,13.587,,Kepler-288,3.0
5990,,1.08,,12.861,1.00,,12.596,12.508,0.05,Kepler-289,3.0
4590.0,,0.75,K4V,13.334,0.70,,12.767,12.719,0.34,Kepler-28,2.0
5147,,0.7980,,14.054,0.743,,13.58,13.45,,Kepler-290,2.0
6002,,1.0100,,14.69,1.016,,14.34,14.15,,Kepler-291,2.0
5299,,0.8340,,14.537,0.826,,14.08,13.97,,Kepler-292,5.0
5804,,0.9530,,14.098,0.957,,13.781,13.66,,Kepler-293,2.0
5913,,0.9940,,14.57,0.976,,14.26,14.17,,Kepler-294,2.0
5603,,0.8850,,13.145,0.898,,12.763,12.717,,Kepler-295,3.0
3740,,0.498,M2V,13.73,0.480,,,12.93,-0.08,Kepler-296 A,5.0
3440,,0.326,,14.83,0.322,,,14.07,-0.08,Kepler-296 B,0.0
6150,,1.04,,13.122,1.04,,12.785,12.78,-0.12,Kepler-297,2.0
4465,,0.6600,,13.718,0.582,,13.139,13.07,,Kepler-298,3.0
5617,,1.0010,,13.875,1.032,,13.510,13.44,,Kepler-299,4.0
5378.00,,0.76,,14.131,0.73,,13.673,13.657,-0.440,Kepler-29,2.0
5986,,1.0350,,13.113,0.900,,12.803,12.742,,Kepler-300,2.0
5815,,0.9700,,13.146,0.900,,12.824,12.706,,Kepler-301,3.0
5740,,1.0210,,14.259,1.220,,13.91,13.90,,Kepler-302,2.0
3944,,0.5750,,12.410,0.485,,11.761,11.596,,Kepler-303,2.0
4731,,0.6870,,13.243,0.687,,12.75,12.63,,Kepler-304,4.0
5100,,0.9000,,14.250,0.794,,13.74,13.70,,Kepler-305,3.0
4954,,0.9300,,14.084,0.719,,13.607,13.503,,Kepler-306,4.0
5577.00,,0.78,,12.833,1.03,,12.452,12.321,,Kepler-307,3.0
5895,,0.9970,,14.61,0.941,,14.15,14.19,,Kepler-308,2.0
4713,,0.6660,,13.504,0.721,,12.931,12.852,,Kepler-309,2.0
5797,,0.9700,,13.056,0.876,,12.690,12.626,,Kepler-310,3.0
5905,,,,12.751,1.188,,12.47,12.418,,Kepler-311,2.0
6115,,,,11.902,1.467,,11.664,11.596,,Kepler-312,2.0
5727,,0.9600,,12.868,1.536,,12.551,12.52,,Kepler-313,2.0
5378,,1.0240,,11.242,0.950,,10.850,10.778,,Kepler-314,2.0
5796,,,,13.982,1.037,,13.622,13.58,,Kepler-315,2.0
4204,,0.5870,,13.324,0.520,,12.681,12.542,,Kepler-316,2.0
5497,,0.8160,,14.095,0.941,,13.722,13.67,,Kepler-317,2.0
5746,,0.9800,,12.148,1.189,,11.832,11.766,,Kepler-318,2.0
5526,,0.9600,,12.631,0.903,,12.315,12.208,,Kepler-319,3.0
6034,,1.2080,,14.233,1.306,,13.984,13.87,,Kepler-31,3.0
6435,,1.1800,,12.546,1.108,,12.283,12.31,,Kepler-320,2.0
5740,,0.8980,,11.621,1.194,,11.300,11.249,,Kepler-321,2.0
5388,,0.9000,,12.246,0.890,,11.867,11.837,,Kepler-322,2.0
5987,,1.1600,,11.689,1.178,,11.423,11.354,,Kepler-323,2.0
5194,,0.8500,,12.783,0.840,,12.34,12.291,,Kepler-324,2.0
5752,,0.9180,,13.81,1.003,,13.40,13.35,,Kepler-325,3.0
5105,,0.9140,,12.229,0.801,,11.783,11.673,,Kepler-326,3.0
3799,,0.5470,,12.794,0.492,,12.110,11.956,,Kepler-327,3.0
4257,,0.6020,,13.51,0.523,,12.85,12.693,,Kepler-329,2.0
3900.0,,0.58,,13.616,0.53,,12.901,12.757,,Kepler-32,5.0
5117,,0.7920,,13.860,0.722,,13.315,13.26,,Kepler-330,2.0
4347,,0.6530,,14.08,0.492,,13.51,13.34,,Kepler-331,3.0
4955,,,,12.558,0.720,,12.073,11.974,,Kepler-332,3.0
4259,,0.6010,,12.860,0.534,,12.227,12.118,,Kepler-333,2.0
5828,,1.0600,,11.710,1.068,,11.448,11.409,,Kepler-334,3.0
5877,,,,12.848,1.854,,12.574,12.496,,Kepler-335,2.0
5867,,1.0570,,12.488,1.304,,12.194,12.144,,Kepler-336,3.0
5684,,1.0210,,11.537,1.761,,11.257,11.183,,Kepler-337,2.0
5923,12.19,1.1010,,11.10,1.735,12.88,10.84,10.756,-0.07,Kepler-338,4.0
5631,,0.9340,,13.280,0.802,,12.895,12.87,,Kepler-339,3.0
5904.0,13.74,1.291,,12.871,1.82,14.39,12.620,12.591,0.0250,Kepler-33,5.0
6620,,,,11.725,1.850,,11.629,11.583,,Kepler-340,2.0
6012,,1.0120,,13.416,1.024,,13.112,12.994,,Kepler-341,4.0
6175,,,,12.220,1.472,,11.999,11.957,,Kepler-342,4.0
5807,,,,13.039,1.433,,12.722,12.683,,Kepler-343,2.0
5774,,0.9300,,14.082,0.976,,13.71,13.66,,Kepler-344,2.0
4504,,0.6100,,12.309,0.623,,11.665,11.551,,Kepler-345,2.0
6033,,1.0200,,13.968,1.021,,13.611,13.58,,Kepler-346,2.0
6088,,,,13.391,1.005,,13.08,13.047,,Kepler-347,2.0
6177,,,,11.708,1.359,,11.454,11.377,,Kepler-348,2.0
5956,,1.0170,,13.584,0.927,,13.283,13.18,,Kepler-349,2.0
,,1.0479,,,1.1618,,,,,Kepler-34 A,0.0
,,1.0208,,,1.0927,,,,,Kepler-34 B,0.0
6186,,1.1300,,12.718,1.534,,12.450,12.393,,Kepler-350,3.0
5643,,,,14.669,0.854,,14.205,14.097,,Kepler-351,3.0
5212,,,,11.610,0.781,,11.18,11.132,,Kepler-352,2.0
3903,,0.5530,,13.601,0.504,,12.951,12.808,,Kepler-353,2.0
4648,,,,13.875,0.674,,13.255,13.16,,Kepler-354,3.0
6184,,1.0900,,14.007,1.066,,13.592,13.673,,Kepler-355,2.0
6133,,1.1300,,12.000,1.335,,11.745,11.704,,Kepler-356,2.0
5036,,0.7270,,13.991,0.834,,13.514,13.41,,Kepler-357,3.0
5908,,0.9980,,14.106,0.954,,13.789,13.652,,Kepler-358,2.0
6248,,,,14.736,1.086,,14.430,14.487,,Kepler-359,3.0
,,0.89,,,1.02,,,,,Kepler-35 A,0.0
,,0.81,,,0.7861,,,,,Kepler-35 B,0.0
6053,,1.0250,,13.642,1.058,,13.299,13.23,,Kepler-360,2.0
6169,,,,12.526,1.343,,12.275,12.198,,Kepler-361,2.0
